subject_id,ability,release_time
20250802_mini-v1.0.0_qwen3-coder-480b-a35b-instruct,0.26441213488578796,
20250804_codesweep_sweagent_kimi_k2_instruct,0.002599075436592102,
20250804_epam-ai-run-claude-4-sonnet,2.5825490951538086,
20250806_SWE-Exp_DeepSeek-V3,-0.7187103629112244,
20250807_mini-v1.7.0_gpt-5,1.2097548246383667,
20250807_mini-v1.7.0_gpt-oss-120b,-1.966054081916809,
20250807_mini-v1.7.0_kimi-k2-instruct,-0.515022337436676,
20250807_openhands_gpt5,1.953188180923462,
20250819_ACoder,2.194241523742676,
20250822_mini-v1.9.1_glm-4.5,0.12592792510986328,
20250901_entroPO_R2E_QwenCoder30BA3B_tts,0.4495260715484619,
20250901_warp,2.3805925846099854,
20250902_atlassian-rovo-dev,2.6341071128845215,
20250915_JoyCode,2.1904208660125732,
20250924_artemis_agent_v2,0.4510537385940552,
20250928_trae_doubao_seed_code,2.8104052543640137,
20250929_Prometheus_v1.2_gpt5,1.7174818515777588,
20251021_SalesforceAIResearch_SAGE_bash_only,2.086024045944214,
20251103_SalesforceAIResearch_SAGE_OpenHands,2.094182252883911,
20251103_sonar-foundation-agent_claude-sonnet-4-5,2.3568809032440186,
20251110_frogmini-14b,-0.6080920696258545,
20251118_mini-v1.15.0_gemini-3-pro-preview-20251118,2.1296558380126953,
20251124_mini-v1.17.0_minimax-m2,0.6500768065452576,
20251201_mini-v1.17.1_glm-4.6,0.2485238015651703,
MiniMaxAI/MiniMax-M2,-0.4699600636959076,
Qwen/Qwen3-Coder-30B-A3B-Instruct,-0.7558037638664246,
Qwen/Qwen3-Coder-480B-A35B-Instruct,-0.3331855833530426,
claude-3-5-sonnet-20240620,-0.4880940914154053,2024-06-20
claude-3-5-sonnet-20241022,0.07793273776769638,2024-10-22
claude-3-7-sonnet-20250219,1.1805429458618164,2025-02-24
claude-3-opus,-2.4057397842407227,2024-03-04
claude-4-opus-20250514,1.2588882446289062,2025-05-14
claude-4-sonnet-20250514,2.1986348628997803,2025-05-14
claude-4.5-opus-medium,2.520383596420288,2025-11-01
claude-4.5-sonnet-250929,1.858744502067566,2025-09-29
deepseek-v3.2-reasoner,0.6386559009552002,2025-12-01
entrpo-ekto-30b,-0.051821231842041016,2025-09-01
frogboss-32b-2510,0.13701961934566498,2025-10-22
gemini-2.5-flash,-2.4964613914489746,
gemini-2.5-pro,0.07295400649309158,2025-06-17
gemini-3-pro-preview,2.4054758548736572,2025-11-18
glm-4.5,1.041412353515625,2025-07-27
glm-4.6,1.5695719718933105,2025-09-29
gpt-3,-4.029105186462402,2022-03-15
gpt-3.5-turbo-instruct,-3.35653018951416,2022-03-15
gpt-4-0125,-2.00180983543396,2024-01-25
gpt-4-0314,-1.613085150718689,2023-03-14
gpt-4-1106,-1.982035517692566,2023-11-06
gpt-4-turbo,-1.6260113716125488,2024-04-09
gpt-4o-2024-05-13,-1.039244294166565,2024-05-13
gpt-4o-mini,-3.8066365718841553,
gpt-5-2025-08-07,1.9494067430496216,2025-08-07
gpt-5-mini,0.45545002818107605,2025-08-07
gpt-5-nano,-1.3852616548538208,2025-08-07
gpt-5.1,0.0741729736328125,
gpt-oss-120b,-1.0392001867294312,
gpt-oss-20b,-2.4980270862579346,
gpt2,-5.521043300628662,2019-02-14
kimi-k2,1.7037568092346191,2025-09-04
llama-3.3-70B-instruct,-7.046523571014404,
minimaxm2,0.6628372073173523,2025-10-23
o1,0.8472791910171509,2024-12-05
o1-preview,0.1405271291732788,2024-09-12
o3,1.0213899612426758,2025-04-16
o3-2025-04-16,0.7524319887161255,2025-04-16
o3-mini,-0.9700033664703369,2025-01-31
o4-mini,0.9691137671470642,2025-04-16
openai/gpt-oss-120b,-0.3115246891975403,
openai/gpt-oss-20b,-0.6898480653762817,
qwen2.5-coder-32b-inst,-3.9058825969696045,2024-09-19
qwen2_5coder32b,-6.9564714431762695,
qwen3-coder-30b,-1.265639305114746,
qwen3-coder-30b-a3b-instruct,-0.41588133573532104,2025-07-31
qwen3-coder-480b,0.3093438446521759,
qwen3-coder-480b-a35b-instruct,1.374846339225769,2025-07-23
