agent_key,label,release_date,intercept,slope,beta_p50,beta_low,beta_high,task_count
claude-3-5-sonnet-20240620,Claude 3.5 Sonnet (Old),2024-06-20,-0.7175985725526866,-1.6681877869427921,-0.4301665425016659,-0.8475076483804328,-0.008472047413415206,170
claude-3-5-sonnet-20241022,Claude 3.5 Sonnet (New),2024-10-22,0.308583291383298,-1.3490879034788559,0.2287347552280046,0.04287791354667623,0.3957968208105298,670
claude-3-7-sonnet-20250219,Claude 3.7 Sonnet,2025-02-24,1.744601125031609,-1.3604276274265197,1.282391719971035,1.077244535980768,1.4669846376040356,670
claude-3-opus,Claude 3 Opus,2024-03-04,-3.4931646677002526,-1.4885843243708345,-2.3466353974785235,-2.536651885641449,-2.1440801909055622,670
claude-4-opus-20250514,Claude 4 Opus,,2.032488046556843,-1.4715983329235856,1.3811432108100807,1.1564722778373084,1.62199894434481,500
claude-4-sonnet-20250514,Claude 4 Sonnet,,3.8377833226667017,-1.8621764701203174,2.0609127997513244,1.8174222541535838,2.2644156697662283,500
claude-4.5-opus-medium,Claude 4.5 Opus medium (20251101),,2.7596201305527472,-1.266297559568013,2.1792825151571553,1.9271508327871658,2.4591219454689113,500
claude-4.5-sonnet-250929,Claude 4.5 Sonnet,,2.1664335162758057,-1.2233943442665052,1.7708382635810749,1.4905517500779424,2.0624951569320027,500
deepseek-v3.2-reasoner,Deepseek v3.2 reasoner,,0.8295415458471311,-0.9017055986527199,0.9199693858911241,0.6245900427332857,1.18359061875753,500
entrpo-ekto-30b,EntroPO-EKTO-30B,,0.22399488293446368,-1.2014310019626568,0.18644007235417248,-0.02667209035685569,0.42679426499978423,500
frogboss-32b-2510,FrogBoss 32B,,0.35196379096929875,-1.272727493187265,0.27654293071636504,0.06509735184826533,0.4884375494489513,500
gemini-2.5-pro,gemini-2.5-pro,,0.34877370822615306,-1.1802241923999053,0.29551479326732455,0.08597488076298274,0.5164012848747933,500
gemini-3-pro-preview,Gemini 3 Pro (preview),2025-11-18,3.4262419879407817,-1.3599407627562956,2.519405316593758,2.2346637280057053,2.7649711432295394,500
glm-4.5,GLM 4.5,,1.5749410886068214,-1.4740604007576803,1.0684372823510404,0.8239612311709269,1.2611038205228176,500
glm-4.6,GLM 4.6,,1.9970173545600978,-1.3526432863504538,1.4763813746846886,1.2289482632222457,1.740061759932211,500
gpt-3,gpt-3,,-12.282828706375113,-2.860151459239155,-4.294467926409232,-4.5106386082424255,-4.051699872207116,152
gpt-3.5-turbo-instruct,GPT 3.5 Turbo Instruct,2022-03-15,-24.506178510734568,-6.863461194096138,-3.570527729043543,-3.6904322989262117,-3.4428546530565676,160
gpt-4-0125,GPT-4 0125,2024-01-25,-7.84009824370929,-3.317583718764426,-2.3631952976394497,-2.683788535682782,-2.0799279812021116,170
gpt-4-0314,GPT-4 0314,2023-03-14,-3.5482321291382175,-1.9414595338774194,-1.82761065436775,-2.194885117404826,-1.3436974092789205,170
gpt-4-1106,GPT-4 1106,2023-11-06,-2.3647010390269774,-1.2818617465626263,-1.844739532455849,-2.030763167183499,-1.663612720701092,670
gpt-4-turbo,GPT 4 Turbo,2024-04-09,-4.046840304349328,-2.2954275019450203,-1.7630007050626761,-2.104645955919186,-1.393746582945148,170
gpt-4o-2024-05-13,GPT 4o (2024-05-13),,-0.9655245650685993,-1.1275923239047345,-0.8562709630064601,-1.0933387316055474,-0.6800187189688522,670
gpt-5-2025-08-07,GPT 5,,2.4359795914561695,-1.0727902427840321,2.2706951408641465,1.943370480199377,2.5394803442759986,500
gpt-5-mini,GPT 5 Mini,,1.0088931412247644,-1.3970771886740503,0.722145597540171,0.4849942734661996,0.9136676985764716,500
gpt-5-nano,GPT 5 Nano,,-1.087053041582094,-0.9823134201581111,-1.106625461155895,-1.3970974762305044,-0.8821937952757731,500
gpt2,GPT 2,2019-02-14,-11.293529615814045,-2.0491555160153325,-5.5113091844657935,-5.689253593208118,-5.2602862034001845,152
kimi-k2,Kimi K2,,2.769565238441567,-1.618209865601211,1.711499415072837,1.471737935812049,1.9696146086245379,500
minimaxm2,Minimax M2,2025-10-23,1.0932174023171473,-0.9608201753256299,1.137796052155802,0.8762396361012615,1.4563421168079007,499
o1,o1,2024-12-05,1.410893549819939,-1.3340744965208546,1.0575822815737963,0.49508043025681775,1.5531892586927218,170
o1-preview,o1 preview,2024-09-12,0.016668092759826746,-2.0687577658188556,0.008057053868377472,-0.4527054870871371,0.3541225541541984,169
o3-2025-04-16,o3,,0.7557299261398376,-1.0673658700209363,0.7080326881025473,0.48668796392923414,0.9543944993842458,500
o3-mini,o3 mini,,-0.5077215071442814,-0.9729309042908101,-0.5218474455946801,-0.7605626439538853,-0.29577905254094883,500
o4-mini,o4 mini,,1.4628746843765037,-1.2447549950387475,1.1752310215320456,0.9659715574476895,1.385868244301948,500
qwen2.5-coder-32b-inst,Qwen 2.5 Coder 32B Instruct,2024-11-15,-4.518331763548166,-1.305411939782392,-3.4612306091679823,-3.8641545394074868,-3.141065618201683,500
qwen3-coder-30b-a3b-instruct,Qwen 3 Coder 30B Instruct,2025-07-31,0.15512942478776046,-1.4240187937257869,0.10893776505707593,-0.060420226421455885,0.334051231502252,500
qwen3-coder-480b-a25b-instruct,Qwen3 Coder 480B Instruct,2025-07-23,2.111872103840524,-1.2870278370758428,1.6408907740789405,1.3942984853973481,1.906622916708545,500
